on_air_id,community,lon,lat,licensee,description
exBRACS,PORMPURAAW,141.8188934,-14.69277763,Pormpuraaw Aboriginal Council,Aboriginal
exBRACS,PULARUMPI,131.4167023,-22.18330002,Tiwi Islands Shire Council,Aboriginal
exBRACS,RAMINGINING,134.9300079,-12.32779026,East Arnhem Shire Council,Aboriginal
exBRACS,SAIBAI ISLAND,142.6886139,-9.407400131,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,SANTA TERESA,134.3733063,-24.13069916,MacDonnell Shire Council,Aboriginal
exBRACS,SEISIA,142.370285,-10.85194492,Northern Peninsula Area Regional,Torres Strait Islanders
exBRACS,ST PAULS,144.7166595,-21.61666679,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,STEPHENS ISLAND,143.5475006,-9.507403373,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,SUE ISLAND,142.827774,-10.20628548,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,TJUKURLA,128.7613068,-24.34720039,Tjukurla Community Inc.,Aboriginal
exBRACS,UMAGICO,142.3969421,-10.91888905,Northern Peninsula Area Regional,Aboriginal
exBRACS,UMBAKUMBA,136.8111267,-13.85973644,East Arnhem Shire Council,Aboriginal
exBRACS,WADEYE,129.5204926,-14.24040031,Victoria Daly Shire Council,Aboriginal
exBRACS,WARMUN,128.2243958,-17.02333069,Warmun Community (Turkey Creek),Aboriginal
exBRACS,WARRUWI,133.3893433,-11.64896011,West Arnhem Shire Council,Aboriginal
exBRACS,WINGELLINA,128.9351959,-26.06443024,Irrunytju Community Inc.,Aboriginal
exBRACS,WOORABINDA,138.5921173,-33.69633102,Woorabinda Aboriginal Council,Aboriginal
exBRACS,WUJAL WUJAL,145.3130646,-15.97083282,Wujal Wujal Aboriginal Shire Council,Aboriginal
exBRACS,YAM ISLAND,142.769165,-9.89944458,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,YANDEEARRA,118.8852005,-21.35893059,Mugarinya Community Association,Aboriginal
exBRACS,YIRRKALA,136.8916779,-12.2527914,East Arnhem Shire Council,Aboriginal
exBRACS,YORKE ISLANDS,143.434433,-9.744624137,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,YUELAMU,132.2055664,-22.25834656,Central Desert Shire Council,Aboriginal
